feature,importance
spend_trend_2y,0.13993143398573618
app_usage_score,0.11986334512496477
tenure_days,0.10218294251407835
email_open_rate,0.0998900464459147
spend_trend_1y,0.09496899141585873
recency_days,0.0794025519651877
spend_2024,0.04066913820453411
login_count_30d,0.04025624684443305
frequency,0.037581040171830435
login_count_90d,0.0374856208595811
monetary_total,0.024000573776102308
loyalty_tier_enc,0.020561329010531097
spend_2023,0.01718131485046642
age,0.017130627098646517
monetary_max,0.016978212264752466
monetary_avg,0.0167912226782582
avg_discount_pct,0.01605108738732789
days_since_login,0.014401176850410351
support_tickets,0.01332608138647334
avg_quantity,0.010780533024741738
monetary_std,0.010632469004026564
spend_2022,0.010264057917959599
channel_Mobile App,0.007653616968317861
category_diversity,0.0037390834005135943
channel_Web,0.0022777884649432386
is_cz,0.0021167341847575026
campaign_opt_in,0.0018666795322807596
channel_Store,0.0017216948718566402
return_rate,0.0002943597955145365
